term,direction
bbb_corporate_yield,either
bbb_to_10_year_corporate_yield_spread,positive
commercial_real_estate_price_index_growth,negative
cpi_inflation_rate,either
dow_jones_total_stock_market_index_growth,negative
house_price_index_growth,negative
market_volatility_index_level,positive
mortgage_rate,either
nominal_disposable_income_growth,negative
nominal_gdp_growth,negative
prime_rate,either
real_disposable_income_growth,negative
real_gdp_growth,negative
unemployment_rate,positive
x10_year_treasury_yield,either
x3_month_to_10_year_treasury_spread,either
x3_month_treasury_rate,either
x5_year_treasury_yield,either
